province,district,palika,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,maize_urea_total,maize_dap,maize_mop,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,OC,P_Olsen,Exch_K,n_supply,p_supply,k_supply,target_yield_t_ha,quefts_N_kg_ha,quefts_P2O5_kg_ha,quefts_K2O_kg_ha,IE_N_kg_grain_per_kg_uptake,RE_N_fraction,dsm_interpretation
Province 5,Arghakhanchi,Malarani Gaunpalika,28.06,83.02,6.53,2.48,0.11,203.26,523.42,45.65,14.2,40.78,10.44,1.08,0.83,NARC_API_modelled_DSM,False,0,none,14.385150812064966,78.17692307692307,4.273446783395632,86.32529002320186,43.41612627164019,56.324983861808875,6.0,127.34941995359628,0.0,226.69353905442253,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Malarani Gaunpalika,28.06,83.06,6.36,2.77,0.12,163.86,399.94,50.99,11.02,37.69,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,16.067285382830626,63.02307692307693,3.2652980523313,91.77633410672854,36.770682313046585,42.45140609750159,6.0,116.44733178654292,0.0,260.26759724404616,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Malarani Gaunpalika,28.06,83.18,6.3,2.69,0.13,172.45,260.48,43.67,10.27,45.73,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,15.60324825986079,66.32692307692307,2.126681093842219,87.53422273781902,38.378847269320005,29.163627350946438,6.0,124.93155452436196,0.0,292.4240218107096,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Malarani Gaunpalika,28.08,83.02,6.54,2.53,0.12,175.8,434.35,51.22,12.62,37.59,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,14.675174013921113,67.61538461538461,3.5462374581939793,88.31519721577726,38.1951290826343,45.704776187107264,6.0,123.36960556844548,0.0,252.39444162720042,40.0,0.5,modelled spatial covariate
Province 5,Banke,Narainapur Gaunpalika,27.86,81.9,7.58,1.51,0.08,193.13,132.25,47.52,20.25,37.23,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,8.758700696055685,74.28076923076922,1.0797511312217194,68.19524361948956,36.37951628591826,10.051483003921494,6.0,163.60951276102088,0.0,338.67541113050993,40.0,0.5,modelled spatial covariate
Province 5,Banke,Narainapur Gaunpalika,27.86,81.92,7.59,1.46,0.08,179.24,141.4,49.37,20.49,36.26,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,8.468677494199536,68.93846153846154,1.1544560299036,66.08109048723898,33.686576766910584,10.91847599441743,6.0,167.83781902552204,0.0,336.5772880935098,40.0,0.5,modelled spatial covariate
Province 5,Banke,Narainapur Gaunpalika,27.88,81.86,7.82,1.61,0.08,220.48,159.31,45.15,22.2,37.49,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,9.338747099767982,84.8,1.3006816840448552,76.52169373549886,40.25516995359629,8.50047470085552,6.0,146.95661252900229,0.0,342.4288512239296,40.0,0.5,modelled spatial covariate
Province 5,Banke,Narainapur Gaunpalika,27.88,81.88,7.63,1.45,0.08,265.75,120.9,50.76,19.52,35.59,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,8.410672853828306,102.21153846153845,0.9870843989769821,66.20040603248259,50.13889930617526,8.973864397730607,6.0,167.59918793503482,0.0,341.2832481574919,40.0,0.5,modelled spatial covariate
Province 5,Banke,Narainapur Gaunpalika,27.88,81.9,7.5,1.52,0.08,241.52,155.62,49.04,20.28,36.31,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,8.816705336426914,92.8923076923077,1.270554790478064,67.44779582366588,46.06042298768517,12.788629488464396,6.0,165.10440835266823,0.0,332.0515166379161,40.0,0.5,modelled spatial covariate
Province 5,Banke,Narainapur Gaunpalika,27.88,81.92,7.67,1.6,0.08,209.8,227.96,49.65,21.05,36.56,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,9.280742459396752,80.6923076923077,1.8611725359039932,73.67981438515082,39.06487774406568,14.921498235520732,6.0,152.64037122969836,0.0,326.8899742700398,40.0,0.5,modelled spatial covariate
Province 5,Banke,Narainapur Gaunpalika,27.9,81.84,7.69,1.44,0.07,211.72,132.46,48.49,19.79,35.98,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,8.352668213457076,81.43076923076923,1.081465669879992,66.59582366589326,39.464008745315006,9.204058508332603,6.0,166.80835266821347,0.0,340.7261784098351,40.0,0.5,modelled spatial covariate
Province 5,Banke,Narainapur Gaunpalika,27.9,81.86,7.63,1.45,0.07,339.01,129.29,49.9,19.66,33.91,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,8.410672853828306,130.38846153846154,1.055584300609876,66.20040603248259,64.2273608446368,9.596616443197602,6.0,167.59918793503482,0.0,339.7761882074618,40.0,0.5,modelled spatial covariate
Province 5,Banke,Narainapur Gaunpalika,27.9,81.88,7.65,1.58,0.08,290.48,174.5,50.88,21.11,34.07,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,9.164733178654293,111.72307692307693,1.4246999803265785,72.44721577726219,54.70277251026236,11.81659130162194,6.0,155.10556844547563,0.0,334.4038490500749,40.0,0.5,modelled spatial covariate
