year,study,dataset_type,district,site,latitude,longitude,variety,treatment_code,treatment,adjusted_yield_kg_ha,yield_t_ha,treatment_label
2018,"2018 N source, timing and FYM trial",trial,Doti,Chattiwan,29.0795114,80.59146346,,7,N0-P60-K40,5052.0,5.052,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Doti,Chattiwan,29.08326987,80.59331328,,8,N0-P0-K0,4924.0,4.924,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Doti,Chattiwan,29.08356178,80.5955264,,8,N0-P0-K0,7720.0,7.72,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Doti,Chattiwan,29.07951102,80.59145253,,8,N0-P0-K0,4434.0,4.434,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Doti,Ghantesori,29.14441114,80.60188293,,7,N0-P60-K40,7286.0,7.286,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Doti,Ghantesori,29.14405423,80.60298751,,7,N0-P60-K40,8713.0,8.713,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Doti,Ghantesori,29.14430126,80.60540403,,7,N0-P60-K40,7937.0,7.937,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Doti,Ghantesori,29.14446111,80.6017681,,8,N0-P0-K0,5327.0,5.327,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Doti,Ghantesori,29.14404606,80.60298644,,8,N0-P0-K0,7720.0,7.72,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Doti,Ghantesori,29.14428681,80.60539869,,8,N0-P0-K0,5395.0,5.395,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Kavre,Anekot,27.65010726,85.59363155,,7,N0-P60-K40,2276.0,2.276,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Kavre,Anekot,27.67004188,85.58090516,,7,N0-P60-K40,5632.0,5.632,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Kavre,Anekot,27.66162987,85.5949651,,7,N0-P60-K40,7081.0,7.081,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Kavre,Anekot,27.65010811,85.59363108,,8,N0-P0-K0,3517.0,3.517,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Kavre,Anekot,27.67011176,85.58107345,,8,N0-P0-K0,4775.0,4.775,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Kavre,Anekot,,,,8,N0-P0-K0,4727.0,4.727,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Kavre,Bhakundebesi,27.56066755,85.66487803,,7,N0-P60-K40,7390.0,7.39,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Kavre,Bhakundebesi,27.55468903,85.66737718,,7,N0-P60-K40,8486.0,8.486,0–60–40 (−N)
