year,study,dataset_type,district,site,latitude,longitude,variety,variety_group,treatment_code,source_treatment_label,treatment,treatment_role,N_rate_kg_ha,P_rate_kg_ha,K_rate_kg_ha,grain_moisture_pct,recorded_yield_kg_ha,dry_yield_kg_ha,yield_14pct_kg_ha,yield_t_ha,strategy
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.111658105626702,82.1895098593086,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,17.0,9983.0,8285.89,9634.755813953489,9.634755813953488,zn
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.108129701577127,82.18275496736169,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,17.4,7533.0,6222.257999999999,7235.183720930231,7.235183720930231,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.111794143915176,82.18948588706553,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,17.2,9100.0,7534.8,8761.39534883721,8.76139534883721,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.1081129796803,82.18279100954533,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,17.3,7000.0,5789.0,6731.395348837209,6.731395348837209,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Dang,Shreegau,28.111752863042057,82.18939930200577,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,16.8,8817.0,7335.744000000001,8529.93488372093,8.52993488372093,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Doti,Chhatiwan,29.08005500212312,80.59002564288676,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,28.7,8888.0,6337.144,7368.772093023256,7.3687720930232565,gr
2019,2019 Hybrid strategy block,Demo,Doti,Chhatiwan,29.080102150328457,80.58986630290747,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,27.9,7806.0,5628.126,6544.332558139536,6.544332558139535,fym
2019,2019 Hybrid strategy block,Demo,Doti,Chhatiwan,29.08013136126101,80.58982397429645,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,28.9,8666.0,6161.526,7164.56511627907,7.1645651162790704,zn
2019,2019 Hybrid strategy block,Demo,Doti,Chhatiwan,29.080242505297065,80.58977385051548,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,29.0,8222.0,5837.62,6787.930232558139,6.787930232558139,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Doti,Chhatiwan,29.080344010144472,80.58960730209947,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,28.7,8577.0,6115.401,7110.931395348837,7.110931395348837,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Doti,Dipayal,29.255790319293737,80.9320121537894,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,24.8,8777.0,6600.304,7674.772093023256,7.674772093023257,gr
2019,2019 Hybrid strategy block,Demo,Doti,Dipayal,29.25574602093548,80.9319225512445,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,26.3,9291.0,6847.467000000001,7962.170930232559,7.962170930232559,fym
2019,2019 Hybrid strategy block,Demo,Doti,Dipayal,29.255823763087392,80.93188734725118,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,19.5,10111.0,8139.355,9464.366279069767,9.464366279069766,zn
2019,2019 Hybrid strategy block,Demo,Doti,Dipayal,29.255790319293737,80.9320121537894,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,27.2,7888.0,5742.464,6677.283720930232,6.677283720930232,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Doti,Dipayal,29.25574602093548,80.9319225512445,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,22.6,8777.0,6793.398,7899.3,7.8993,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.12981002125889,80.57959344238043,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,22.4,9000.0,6984.0,8120.930232558139,8.12093023255814,gr
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.126308523118496,80.57519964873791,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,23.0,7777.77,5988.8829000000005,6963.817325581396,6.963817325581396,gr
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.12532427813857,80.57615367695689,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,24.0,11000.0,8360.0,9720.93023255814,9.720930232558139,gr
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.129989058710635,80.57948833331466,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,20.8,8777.0,6951.384,8083.004651162791,8.08300465116279,fym
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.126279773190618,80.57517810724676,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,21.0,7888.88,6232.215200000001,7246.761860465117,7.246761860465117,fym
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.125242428854108,80.57594706304371,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,28.0,9633.0,6935.76,8064.837209302326,8.064837209302326,fym
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.12981580477208,80.57950903661549,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,23.6,8888.0,6790.432000000001,7895.851162790698,7.895851162790699,zn
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.12621175404638,80.5752432346344,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,25.0,8888.88,6666.659999999999,7751.930232558138,7.751930232558139,zn
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.12522331811488,80.5759166367352,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,21.8,7393.0,5781.326,6722.472093023256,6.722472093023256,zn
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.129920327104628,80.57955572381616,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,24.5,8666.0,6542.83,7607.941860465116,7.607941860465116,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.12617034744472,80.57527751661837,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,21.5,8666.66,6803.3281,7910.846627906976,7.9108466279069765,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.12542439997196,80.57614755816758,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,23.6,9633.0,7359.612000000001,8557.688372093024,8.557688372093024,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Doti,Ghanteshwor,29.130054521374404,80.57947584427893,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,20.5,8555.0,6801.225,7908.401162790698,7.908401162790699,udp_reduced_n
