year,study,dataset_type,district,site,government_recommendation,n_omission,latitude,longitude,response_t_ha,nutrient,yield_response_t_ha,AE_N_kg_kg,p_omission,AE_P_kg_kg,k_omission,AE_K_kg_kg
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.474728682170543,,28.464979775,81.79506163333333,-0.01829457364340925,P,-0.01829457364340925,,8.493023255813952,-0.3049095607234875,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,8.949492248062016,,28.443630965,81.8000034275,0.5986317829457377,P,0.5986317829457377,,8.350860465116279,9.977196382428962,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,8.762003875968992,,28.4252502725,81.79800987083334,0.15140503875968925,P,0.15140503875968925,,8.610598837209302,2.5234173126614876,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-6,,,28.44630107,81.81800988,,P,,,7.532558139534884,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-7,,,28.43198303,81.80341728,,P,,,8.59760465116279,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.903693798449613,,28.48846378666667,81.74247823166667,1.1581240310077527,P,1.1581240310077527,,7.74556976744186,19.302067183462547,,
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,8.777121511627907,,28.040278845001012,82.3734773369506,0.9353023255813957,P,0.9353023255813957,,7.841819186046512,15.588372093023262,,
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,11.619877325581394,,27.97845462919213,82.46626743581146,-0.5203831395348857,P,-0.5203831395348857,,12.14026046511628,-8.673052325581429,,
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,9.917432558139534,,28.13432058203034,82.1207742090337,0.7344604651162783,P,0.7344604651162783,,9.182972093023256,12.241007751937973,,
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,8.61302034883721,,28.165811077924445,82.22748124273494,-0.24690116279069585,P,-0.24690116279069585,,8.859921511627906,-4.115019379844931,,
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,8.656330813953488,,28.10967269469984,82.18609519768506,0.10199941860465067,P,0.10199941860465067,,8.554331395348838,1.6999903100775111,,
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,9.414713546511628,,29.080777689814568,80.59055309509858,-0.40083924418604866,P,-0.40083924418604866,,9.815552790697676,-6.680654069767477,,
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,8.507053310077518,,29.254696208518,80.93249275814742,-0.3693632170542642,P,-0.3693632170542642,,8.876416527131783,-6.156053617571071,,
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,9.174986976744185,,29.12458174629137,80.58126859925687,0.7076846511627881,P,0.7076846511627881,,8.467302325581397,11.794744186046469,,
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,8.723448191860466,,27.557035828940574,85.66751826088876,2.1936434011627917,P,2.1936434011627917,,6.529804790697675,36.5607233527132,,
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,7.813370494186046,,27.650265789125115,85.57618087157607,1.181879043604651,P,1.181879043604651,,6.631491450581395,19.697984060077513,,
2019,2019 T1-T10 core trial,Trial,Makwanpur,Radha Tiwari,6.698701836046512,,,,0.642729987209302,P,0.642729987209302,,6.05597184883721,10.712166453488367,,
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,6.801547209302324,,27.88490126375109,85.15014985576272,-3.0992247906976775,P,-3.0992247906976775,,9.900772000000002,-51.653746511627965,,
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,8.012322523255815,,27.884358095470816,85.15041300561279,1.100930232558139,P,1.100930232558139,,6.911392290697676,18.348837209302314,,
