year,study,dataset_type,district,site,latitude,longitude,AE_N_kg_kg,AE_P_kg_kg,AE_K_kg_kg
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,27.88492251187563,85.1501188846305,-13.47480591085272,,
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,27.88433014182374,85.15046836808324,51.988372093023266,,
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,27.88435664959252,85.15040780883282,,,-3.822750872093028
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,27.884358095470816,85.15041300561279,,18.348837209302314,
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,27.866841395152733,83.54838381288573,-8.4567184744186,,
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,27.86684374208562,83.54842000175267,,-31.64948348527131,
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,27.866861983202398,83.54838136117905,,,-39.702616275581356
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,27.80878884717822,83.69660498807207,,,9.839001977616313
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,27.80937292962335,83.69690275518224,5.250532984156979,,
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,27.809378776000813,83.69689368177205,,-6.2954777259689605,
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,27.884687294717878,83.47848374862224,19.49612386482558,,
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,27.88471700856462,83.47856123931706,,6.220154478100781,
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,27.88477478083223,83.4784936811775,,,95.28439880377906
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,28.21789258858189,82.384795085527,12.886773255813983,,
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,28.21790128480643,82.38471805583686,,,200.8158430232559
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,28.21795323165134,82.38485350739211,,24.74147286821712,
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,28.22908418951556,82.3528625909239,,,
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,28.229103970807046,82.3528173705563,,,
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,28.229172786232084,82.35286355484277,,,
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,28.805140155600384,81.39993380522355,,,-4.291706686046526
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,28.805147510720417,81.39991896925494,,-8.961155910852714,
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,28.805162797216326,81.3999139610678,22.156198449612408,,
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,28.501456595258787,81.7419852130115,11.941981589147277,,
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,28.501477151876315,81.74196859588847,,3.37723837209302,
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,28.501484108855948,81.74196918262169,,,15.126453488372073
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,28.714269753545523,81.5084210713394,,-18.45085271317831,
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,28.714272551005706,81.50841878727078,11.66482073643409,,
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,28.714283583685756,81.50841388385743,,,112.26085755813953
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,28.4650391433388,81.7904285271652,,,72.59754360465118
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,28.465052313404158,81.79047137964517,36.117587209302336,,
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,28.46506261266768,81.7904415819794,,26.797781007751986,
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,28.44781025662087,81.79641427472234,17.34158430232559,,
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,28.44782381434925,81.79641475668177,,,21.763590116279083
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,28.447825155453756,81.79641132010147,,-2.486608527131784,
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,28.489944744855165,81.74422252736986,26.426455426356597,,
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,28.489948470611125,81.74420726392418,,37.67890310077518,
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,28.489960025064647,81.74421476572752,,,10.364831395348828
