study_key,study_id,source_file,field,column_used,n_rows,n_non_missing,n_missing,pct_missing
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,season,season,460,0,460,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,district,district,460,460,0,0.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,site,site,460,460,0,0.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,agroecology,agroecology,460,0,460,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,latitude,latitude,460,460,0,0.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,longitude,longitude,460,460,0,0.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,soil_ph,,460,0,460,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,soil_organic,,460,0,460,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,soil_n,,460,0,460,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,soil_p,,460,0,460,100.0
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,soil_k,,460,0,460,100.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,grain_yield,grain_yield_Mg_ha,2,2,0,0.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,n_rate,N_rate_kg_ha,2,0,2,100.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,p_rate,P2O5_rate_kg_ha,2,0,2,100.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,k_rate,K2O_rate_kg_ha,2,0,2,100.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,treatment_group,treatment_group,2,2,0,0.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,season,season,2,2,0,0.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,district,district,2,2,0,0.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,site,site,2,2,0,0.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,agroecology,agroecology,2,0,2,100.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,latitude,latitude,2,2,0,0.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,longitude,longitude,2,2,0,0.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,soil_ph,,2,0,2,100.0
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,soil_organic,,2,0,2,100.0
